index,Name,DOI,Abstract,cluster,TSNE1,TSNE2
10,Potential-Driven Restructuring of Cu Single Atoms to Nanoparticles for Boosting the Electrochemical Reduction of Nitrate to Ammonia,http://dx.doi.org/10.1021/jacs.2c02262,restructuring ubiquitous thermocatalysis pivotal importance identify yet le explored electrocatalysis herein usingoperandox ray absorption spectroscopy conjunction advanced electron microscopy reveal restructuring synthesized n single atom nanoparticles nm electrochemical reduction nitrate ammonia green ammonia route upon combined plasma assisted oxidation nitrogen reduction subsequent aggregation single atom found occur concurrently enhancement rate driven applied potential switching v versus rhe maximum rate ammonia reach h molnh gcu h faradaic v versus rhe outperforming catalyst reported previously electrolysis aggregated nanoparticles reversibly disintegrated single atom restored n structure upon exposed ambient atmosphere mask potential induced restructuring reaction synchronous change percentage ammonia faradaic applied potential suggests nanoparticles genuine site nitrate reduction ammonia corroborated post deposited np catalyst density functional theory calculation,0,-9.236727,5.3661914
11,Sodium-Ion Battery Materials and Electrochemical Properties Reviewed,http://dx.doi.org/10.1002/aenm.201800079,electrochemical energy storage technology rapidly increasing due proliferation renewable energy source emerging market battery application property battery ideal electrical energy storage ee need yet faced constraint ability current lithium battery libs match overwhelming uncertain sodium battery sib novel class battery similar performance characteristic libs since composed earth abundant element cheaper utility battery module assembled curve lib phenomenal progression material development realized innovative strategy used material development electrochemical property cathode electrolyte combination elucidated attractive performance characteristic herein evidenced based comparative gravimetric volumetric energy density state art libs addition opportunity challenge toward commercialization herein discussed based patent data trend extensive industrial adaptation expected commercial prospect sib look promising discarded set play major role ee application,5,0.8045633,-6.442408
12,Recent Progress in Rechargeable Sodium-Ion Batteries: toward High-Power Applications,http://dx.doi.org/10.1002/smll.201805427,increasing demand renewable energy substitute traditional fossil fuel related large energy storage system ee drive development battery application today lithium battery lib trendsetter rechargeable battery dominated portable electronics electric vehicle seeking participant opportunity battery however growing concern regarding cost availability lithium sodium battery regarded ideal battery choice ee owing similar electrochemistry lib crust abundance na resource participation frequency regulation high pulse power capability essential implanted sib ee herein comprehensive overview recent advance exploration high power cathode material presented deep understanding inherent host structure sodium storage mechanism na diffusion kinetics together promising strategy promote rate performance provided work may shed light classification screening alternative high rate electrode material provide guidance design high power sib future,5,0.24418065,-7.3715525
13,Rechargeable Zinc Alkaline Anodes for Long-Cycle Energy Storage,http://dx.doi.org/10.1021/acs.chemmater.7b00754,zinc alkaline anode command significant share consumer battery market key emerging battery improved understanding electrode required long deployment kwh mwh due strict requirement performance cost safety give modern literature survey zinc alkaline anode levelized performance metric also present experimental assessment leading formulation long material characterization performance metric failure reported unique formulation cycle year shelf life per test statistical repeatability measurement made baseline design fewest additive via duplicate baseline design capacity density mah per lifetime throughput ah per report identical measurement anode improved material property via additive perturbation achieve capacity density mah per lifetime throughput ah per novel operando x ray microscopy cycling zinc paste reveals formation nanoscale zinc material cycle electrochemically replaces original structure long life ex situ elemental mapping material characterization suggest key physical process hydrogen evolution reaction growth zinc oxide nanoscale material concentration deficit oh znoh electrodeposition zn growth outside separator membrane,5,-0.97104394,-3.574398
14,Stochastic coordinated operation of wind and battery energy storage system considering battery degradation,http://dx.doi.org/10.1007/s40565-016-0238-z,battery energy storage system be promising solve problem future power system due limited lifespan high cost cost benefit trade battery effort performance thus develop battery degradation accurately represent battery degradation related cost battery operation cycling linearization proposed transform developed battery degradation mixed integer linear programming milp problem battery degradation incorporated hybrid deterministic stochastic look rolling wind bidding operation electricity simulation result show developed battery degradation effectively help extend battery life make profit wind moreover proposed rolling look strategy utilize updated wind power forecast thereby also increase wind profit,5,3.8568559,-8.268084
15,Polyanion-type electrode materials for advanced sodium-ion batteries,http://dx.doi.org/10.1016/j.mtnano.2020.100072,abstractelectrical energy storage ee exploiting secondary battery technology ideal large energy storage need due rapid growth proliferation renewable energy source emerging market battery application sodium battery sib sustainable ee option alternative lithium battery libs attracted intensive interest past decade natural abundance evenly geographical distributed na source significantly low cost environmental benignity polyanionic compound offer appealing combination rich structural diversity superior ionic conductivity high structural thermal stability convenient storage handling making competitive attractive candidate electrode material next generation energy storage system recent advancement made regarding polyanion type electrode used sib summarized elaborating intrinsic structural characteristic electrochemical property corresponding sodium storage mechanism furthermore highlight recent achievement lab na full cell prototype consist polyanion type compound one working electrode last least challenge outlook structure electrochemical performance polyanion type electrode material sib also presented provide insight facilitate practical realization sodium technology,5,-0.45248723,-6.5079417
16,Assessing new transmission and energy storage in achieving increasing renewable generation targets in a regional grid,http://dx.doi.org/10.1016/j.apenergy.2019.05.066,abstractthis study evaluates generation transmission storage capacity need achieve deep renewable energy penetration regional electricity average load approximately gw increasing renewable energy target analyzed evaluate effect realistic regional transmission upgrade energy storage cost assumption cost optimal mix generation transmission storage capacity contextual data used new york state examine electricity generation renewable energy resource wind water solar power meet electricity central finding study realistic transmission upgrade cost assumed new interzonal transmission battery storage needed cost effectively meet near renewable energy goal fact new york achieve renewable energy penetration buildout new generation capacity onshore wind gw offshore wind gw solar photovoltaics gw presence battery storage electric vehicle additional behind meter solar capacity markedly change selected generation mix achieve target compute mwh levelized cost electricity new renewable energy current generation cost renewable generation target increase beyond begin select transmission upgrade new storage capacity latter particularly battery cost continue decline anticipated deeper target marginal generation capacity would otherwise experience high curtailment primarily due supply imbalance calculate value energy storage renewable energy penetration level time higher value level however additional storage generation transmission lesser degree needed achieve longer renewable energy goal lead substantial rise total investment target computed marginal levelized cost electricity new variable renewable energy mwh compared mwh suggesting alternative integration measure likely necessary high penetration rate,1,5.779982,5.669542
17,Fiber Optic Sensing Technologies for Battery Management Systems and Energy Storage Applications,http://dx.doi.org/10.3390/s21041397,application fiber optic sensor battery monitoring increasing due growing need enhanced battery management system accurate state estimation goal discus advancement enabling practical implementation battery internal parameter measurement including local temperature strain pressure refractive index general operation well external measurement temperature gradient vent gas sensing thermal runaway imminent detection reasonable matching discussed fiber optic sensor different range capability battery system three level scale namely electric vehicle heavy duty electric truck battery pack battery system advantage fiber optic sensor electrical sensor discussed electrochemical stability issue fiber implanted battery critically assessed also includes estimated sensing system cost typical fiber optic sensor identifies high interrogation cost one limitation practical deployment battery finally future perspective considered implementation fiber optic high value battery application energy storage detection prediction system,5,5.1780186,-9.404141
18,Challenges and Mitigation Measures in Power Systems with High Share of Renewables-The Australian Experience,http://dx.doi.org/10.3390/en15020429,australia one leading country energy transition largest power system intended securely operate variable renewable generation high inertia synchronous condenser battery energy storage system forming converter technology supporting transformation secure operation synchronous condenser enabled mw solar wind generation state south australia reaching minimum demand mw battery energy storage system demonstrated benefit cutting cost consumer also essential service contingency fast frequency synthetic inertia high current supporting capability provided new development strengthen integration new renewable energy hub manuscript provides comprehensive overview based australian experience power system overcoming expected challenge continuing integrate secure low cost clean energy,1,7.16147,6.7265687
19,State-of-Charge Balancing Control for ON/OFF-Line Internal Cells Using Hybrid Modular Multi-Level Converter and Parallel Modular Dual L-Bridge in a Grid-Scale Battery Energy Storage System,http://dx.doi.org/10.1109/ACCESS.2018.2885083,abstract cell state charge balancing within battery energy storage system key optimizing capacity utilization many cell balancing strategy proposed however complexity slow convergence remain key issue paper present two strategy achieve balancing among cell main balancing strategy mb using cascaded hybrid modular multi level converter supplementary balancing strategy sb using cascaded parallel modular dual l bridge cpmdlb monitoring individual cell reduction count loss achieved integrating individual cell l bridge instead h bridge simulation result demonstrate satisfactory performance proposed balancing strategy balancing convergence point cell module achieved min cell prioritized mb work without sb cpmdlb min cpmbs work together sb cpmdlb duration required reduces similarly substantial improvement balancing convergence point cell module achieved module prioritized mb work together sb cpmdlb duration needed reach balancing convergence point cell module achieved min,2,4.750491,11.087482
20,Investigating the role of nuclear power and battery storage in Hungary's energy transition using hourly resolution electricity market simulations,http://dx.doi.org/10.1016/j.heliyon.2024.e29841,new hungarian nuclear unit decrease co emission electricity generation limit condition renewables battery lack profit price arbitrage basis thus capability must sold reserve sufficient return nuclear power plant must prepared flexible operation provide balancing service despite nuclear solar capacity hungary remains net electricity importer hourly resolution simulation sensitivity renewables advantage detailed necps,2,7.66586,9.748884
21,Using electrolytic hydrogen production and energy storage for balancing a low carbon electricity grid: Scenario assessments for India,http://dx.doi.org/10.1016/j.egycc.2024.100131,abstractnuclear reactor variable renewables play significant role global energy transition provider low carbon electricity various end sector balancing power supply without modulation curtailment possible using electrolytic hydrogen plant energy storage system generation mix adopted load profile unique country study considers specific case work analysis connected water electrolysers battery storage hydrogen storage fuel cell flexible load scheme balancing based postulated long power generation scenario minimum required system size balancing estimated techno economic uncertainty assessed water electrolysers prioritized make excess power minimizing battery storage requirement scheme potentially produce substantial share low carbon hydrogen industrial decarbonization thus reducing need additional generation infrastructure,4,4.7986817,10.254082
22,"Impacts of grid-scale battery systems on power system operation, case of Baltic region",http://dx.doi.org/10.1049/stg2.12142,stability affected large utilisation renewable energy source fluctuation generation load issue effectively addressed battery energy storage system respond quickly provide high energy density different role power system addressed following optimal operation approach classification furthermore integrating be distribution grid discussed manage challenge distributed generation be aid voltage enhance frequency regulation offer black start service aggregating distributed be provide ancillary service improve economics consumer be optimise energy cost enhance reliability support self consumption renewables novel service include congestion relief system adequacy power quality enhancement moreover ancillary service provided different european country analysed finally case study conducted among three baltic dsos analyse required amendment code electricity act integration,1,8.945031,7.062511
23,Performance Evaluation Of Grid-scale Battery Energy Storage System Employing Virtual Synchronous Generator Control For Grid Code Compliance In Weak Grids,http://dx.doi.org/10.1109/SAUPEC60914.2024.10445060,abstract design testing battery energy storage system employing virtual synchronous generator vsg forming scheme rated mwh mw simulation conducted using matlab simulink simscape software function associated relay needed achieve functionality presented approach adopted apply relevant standard code associated transmission system operator tso internationally however local code context south africa used system designed compliant connection code battery energy storage facility besf connected electricity transmission system t distribution system d south africa classified category c defined system adjust reactive power output accordingly load reduction condition network furthermore local condition ride transient trip disconnect permanent two case functionality serf primary system also trip disconnect remote permanent associated functionality utilised back,1,4.759473,7.3084526
24,Early prediction of battery degradation in grid-scale battery energy storage system using extreme gradient boosting algorithm,http://dx.doi.org/10.1016/j.rineng.2023.101709,abstractthe growth battery energy storage system caused variability intermittent nature high renewable power generation network context lithium li battery occupies crucial position although faced challenge related performance battery degradation due electrochemical process battery degradation crucial factor account based potential diminish safety electrical system equipment thereby contributing increased system planning cost implies health battery need diagnosed particularly determining remaining useful life avoid unexpected cost ensure system safety therefore study aimed machine model specifically extreme gradient boosting xgboost algorithm estimate focus temperature variable aspect previously underemphasized utilizing xgboost along fine tuning hyperparameters proved accurate efficient predicting evaluation yielded promising outcome root mean square rmse mean absolute percentage mape additionally result showed could improve prediction battery within study significantly contributed optimizing planning operation well developing efficient effective maintenance strategy,5,4.0183034,-7.5824633
25,Optimal day-ahead large-scale battery dispatch model for multi-regulation participation considering full timescale uncertainties,http://dx.doi.org/10.1016/j.rser.2023.113963,abstractgrid scalebatteryintegration play important role renewable energy integration formation mitigate problem insufficient frequency peak regulation capacity faced modern power grid high wind energy uptake strategy consideringoperational risksis proposed study generation unit large scalebattery energy storagestation l coordinated participate multi type frequency controlancillaryservices fcass foroptimal performance scheduling different timescales complementarity power energy type requirement coordinated various uncertainty considered conditional value theory utilized achieve optimal mix resource regulation reserve realize minimum operation cost tackle wind power large timescale robust ro approach based budget set employed considers robustness economy help avoid conservation standard ro enhance applicability decision made simulation study comparison scheme verify effectiveness proposed optimal strategy also demonstrate l participating fcass help realize secure reliable economic power,2,10.7689,5.672056
26,Detection of False Data Injection Attacks in Battery Stacks Using Input Noise-Aware Nonlinear State Estimation and Cumulative Sum Algorithms,http://dx.doi.org/10.1109/TIA.2023.3308548,abstract battery energy storage system be vulnerable false data injection attack fdias could used disrupt state charge inaccurate negative impact system availability reliability safety cost operation article combination cumulative sum cusum algorithm improved noise aware extended kalman filter proposed detection fdias voltage current sensor battery stack series connected stack represented equivalent circuit model modeled charge reservoir state estimated using root mean squared state modified found superior traditional ekf employing article address research gap many state estimator make asymmetrical assumption noise corrupting system additionally estimate allowing fdia many alternative method unable achieve proposed algorithm detect attack voltage current sensor test case false positive utilizing compared standard ekf allowed fdia system test case,5,8.438377,-8.038286
27,Introduction to grid-scale battery energy storage system concepts and fire hazards,http://dx.doi.org/10.1002/prs.12541,world continues enact progressive climate change target renewable energy solution needed achieve goal one large lithium battery lib energy storage system forefront ensuring solar wind generated power delivered grid need however perceived hazard libs due recent event united state australia pose future success battery energy storage system multilayered approach safety thermal runaway fire hazard mitigated successful implementation approach requires cooperation education across stakeholder group break preconceived notion much learned recent fire event inform safer design operation event contributing factor share many commonality historic loss fire process safety engineer traditionally worked immense value,5,1.1923152,-9.455714
28,Optimal Grid Flexibility Assessment for Integration of Variable Renewable-Based Electricity Generation,http://dx.doi.org/10.3390/su152015032,study delf power system flexibility keen focus integration variable renewable electricity generation power grid two scenario analyzed base scenario revealed aging insufficient generation capacity frequent outage little renewable energy generation along significant loss load contrast investment scenario presented solution including raising vre capacity adding mw capacity transmission line installing mw capacity battery storage technological enhancement intervention effectively eliminated loss load reinforcing energy resilience investment ccgpp battery proved instrumental mitigating variability renewable energy improved transmission promised efficient power exchange regional elimination annualized energy spill removal ramping constraint marked significant stride enhancing power system flexibility research underscore pivotal role flexibility accommodating vre source implementing proposed optimal solution afghanistan lead way toward cleaner resilient interconnected energy future finding offer replicable framework addressing similar challenge integrating renewable energy source globally supporting transition sustainable reliable energy,1,5.905887,4.9883366
29,Electrode Blocking Due to Redox Reactions in Aluminum Chloride-Sodium Iodide Molten Salts,http://dx.doi.org/10.1149/1945-7111/acd874,iodide redox reaction molten nai alcl shown generate blocking film may limit useful cycling rate energy density molten sodium battery c experimental investigation electrode interfacial stability c reveals source reaction rate limitation electrochemical experiment electrode configuration confirm increase resistance electrode oxidation reduction current using chronopotentiometry chronoamperometry cyclic voltammetry electrochemical impedance spectroscopy formation shown depend electrode material w mo ta glassy carbon well lewis acidity molar ratio molten salt electrolyte factor amount charge given current density prior developing excessive overpotential due formation block electrode result presented guide design iodide based molten salt electrolyte electrode material battery application,5,-2.3582437,-4.9088306
30,A review of solar hybrid photovoltaic-thermal (PV-T) collectors and systems,http://dx.doi.org/10.1016/j.pecs.2023.101072,abstractin paper provide comprehensive overview state art hybrid pv collector wider system within implemented ass worldwide energy carbon mitigation potential system cover experimental computational study identify opportunity performance enhancement pathway collector implication wider deployment solar generation system level first classify main type pv collector including air based liquid based dual air water heat pipe building integrated concentrated pv collector followed presentation performance enhancement opportunity pathway collector address state art design modification next generation pv cell technology selective coating spectral splitting nanofluids beyond address wider pv system application comprising thorough solar combined heat power chp solar cooling solar combined cooling heat power cchp solar desalination solar drying solar hydrogen system includes specific potential performance cost improvement opportunity solar generation system level thermal energy storage side management subsequently set promising pv system assessed analyse carbon mitigation potential might fit within pathway global decarbonization estimated remap baseline emission curve reduced uptake solar pv technology promoted finally turn critical examination key challenge adoption pv recommendation,7,4.6840496,-0.9861108
31,"A review on global warming potential, challenges and opportunities of renewable hydrogen production technologies",http://dx.doi.org/10.1016/j.susmat.2023.e00567,abstractthis compare global warming potential renewable hydrogen technology including wind solar pv powered water electrolysis biomass gasification biogas reforming based hydrogen case compiled literature unlike many previous study discus case various country selecting technology potential commercialisation among four reviewed technology wind electrolysis performed best global warming impact kg co eq kg h whereas biogas reforming performed worst kg co eq kg h key factor contributed impact found material used construction wind solar electricity generation system wind solar pv powered electrolysis energy consumption gasification process biomass gasification methane leakage biogas highest contribution impact biogas reforming case average renewable hydrogen case demonstrated lower global warming potential compared conventional coal gasification natural gas steam methane reforming system increasing renewable hydrogen possibility hydrogen integrated existing natural gas network highlight important role renewable hydrogen future,7,0.48546714,7.197198
32,Weather Impact on Solar Farm Performance: A Comparative Analysis of Machine Learning Techniques,http://dx.doi.org/10.3390/su15010439,forecasting performance energy yield photovoltaic pv farm crucial establishing economic sustainability newly installed system present study aim develop prediction forecast installed pv system annual power generation yield performance ratio pr using three environmental parameter solar irradiance wind speed ambient air temperature three data based artificial intelligence ai technique namely adaptive neuro fuzzy inference system methodology rsm artificial neural network ann employed model developed using three year data mwp solar pv project kuzhalmannam kerala state statistical index pearson r coefficient determination r root mean squared rmse nash sutcliffe nsce mean absolute percentage mape kling gupta kge taylor diagram correlation matrix used determine accurate prediction result demonstrate precise performance ratio prediction r value rmse envisaged forecast would valuable tool policymakers solar energy researcher solar farm developer,7,7.8282003,-2.1605113
33,Voltage Sensorless Based Model Predictive Control With Battery Management System: For Solar PV Powered On-Board EV Charging,http://dx.doi.org/10.1109/TTE.2022.3213253,abstract work deal novel voltage sensorless based predictive scheme continuous quick maximum power harvesting mph photovoltaic pv solar powered board electric vehicle charging system first predictive mpc used pv predict system state horizon eliminate voltage sensor adaptive concept used deciding point accelerates process improves dynamic performance irradiation change shading pattern change partially shaded condition moreover also take care charging process using provided battery management system bm command threshold safety limit battery working principle based prediction future behavior system realizes selected horizon arbitrary number sample decided according complexity fitness function order minimize maximize fitness function predicts voltage solar pv well tune present signal force converge reach convergence criterion moreover cost current sensor lower voltage sensor therefore give fast low power oscillation steady state compared conventional technique verified developed prototype pv system different shading irradiance condition well system stability analyzed bode plot system performance also compared state art method,5,8.831356,-6.448885
34,Generation of green hydrogen using self-sustained regenerative fuel cells: Opportunities and challenges,http://dx.doi.org/10.1016/j.ijhydene.2023.03.430,abstractthe ever increasing energy depleting fossil fuel reserve rising temperature due greenhouse gas emission necessitated transition towards generation green clean energy renewable energy source solar energy one renewable energy source received significant attention owing abundance inexhaustibility however solar energy alone replace fossil fuel energy portfolio exists need develop another clean energy source potentially act alternative conventional fuel hydrogen prof ideal candidate domain sustainably generated water electrolysis powering electrolyzer using solar energy hydrogen thus synthesized net zero carbon emission suitable asset decarbonizing environment encompasses generation hydrogen using pv electrolyzer system address challenge associated overcoming drawback ensure strong position hydrogen alternative fuel energy infrastructure employing electrolyzers fueled renewable energy using hydrogen feed fuel cell study aim clarify potential constraint producing green hydrogen since area research yet fully investigated article enables encourages academic develop original solution urgently needed,6,-0.73413473,4.8151503
35,Design and investigation of PV string/central architecture for bayesian fusion technique using grey wolf optimization and flower pollination optimized algorithm,http://dx.doi.org/10.1016/j.enconman.2023.117078,abstractone essential factor current study effectively harvesting maximum power extraction mpe photovoltaic pv panel primary difficulty extracting solar power occurrence partial shading cause panel significantly increase power loss mainly occur due partially shaded solar pv kept certain critical condition obtaining maximum output power many researcher suggested connecting bypass diode anti parallel thepv moduleshotspots module avoided technique proposed bayesian fusion bft hybrid algorithm combine grey wolf gwo flower pollination algorithm fpa technique optimize performance solar panel photovoltaic pv system combination gwo fpa form ideal combination beneficial optimizing performance pv system determined work study pv string irregular pv configuration central parallel series pv string combination various partial shading pattern compared found effective reducing hotspot problem performance configuration different shading pattern compared analyzed different parameter like output power conversion article state influence partial darkening crucial point reduce sensitivity shading heaviness better understanding reader matlab simulink software used validate simulation data overall article state bft efficient reliable approach improve pv system combining two technique like gwo fpa hybrid algorithm article give clear insight researcher choosing bft gwo algorithm order decrease cost wastage energy achieving better solar panel performance,7,8.3067665,-4.866109
36,An improved genetic algorithm based fractional open circuit voltage MPPT for solar PV systems,http://dx.doi.org/10.1016/j.egyr.2022.12.088,abstractto extract maximum power solar pv maximum power point controller needed operate pv array maximum power point varying environmental condition fractional open circuit voltage simple cost effective easy implement however suffers discontinuous power supply low overcome drawback new hybrid based genetic algorithm ga proposed proposed based single decision variable reducing complexity convergence algorithm matlab simulink used test robustness proposed uniform non uniform irradiance condition performance compared perturb observe incremental conductance hybrid technique furthermore efficacy proposed also assessed commercial pv system power output one result demonstrate proposed ga improves conventional almost exhibiting average speed around minimal steady state oscillation additionally proposed also efficiently track global mpp partial shading condition offer faster speed higher fewer oscillation hybrid technique,2,9.292667,-5.1028366
